,ZONA_O,NOME_O,CO_O_X,CO_O_Y,CO_DOM_X,CO_DOM_Y,DATA,DIASEMANA,HORA_SAIDA,ZONA_D,NOME_D,CO_D_X,CO_D_Y,HORA_CHEG,DURACAO,IDADE,SEXO,TIPVG,MODOPRIN,MODO1,MODO2,MODO3,MODO4,FE_VIA,MOTIVO_O,MOTIVO_D,CO_T1_X,CO_T1_Y,CO_T2_X,CO_T2_Y,CO_T3_X,CO_T3_Y,CO_TR1_X,CO_TR1_Y,CO_TR2_X,CO_TR2_Y,PE_BICI,VIA_BICI,TP_ESTBICI,QT_BICICLE,QT_AUTO,QT_MOTO,CRITERIOBR,RENDA_FA
1899,82,Pinheiros,-23.566399987612094,-46.696173907821496,-23.547011898672288,-46.679577360994564,10/11/2017,4,23:00:00,87,Sumaré,-23.547011898672288,-46.679577360994564,23:15:00,900,31,1,4,15,15,0,0,0,48.563755,10,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.547011898672288,-46.679577360994564,0.0,0.0,8,2,3,7,1,1,1,11742.85
1917,82,Pinheiros,-23.560885122916723,-46.693458195797426,-23.532822869387665,-46.69066005476805,7/04/2018,5,08:30:00,78,Oscar Freire,-23.562158799463813,-46.667524836656284,09:00:00,1800,55,2,4,15,15,0,0,0,89.242681,3,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.560885122916723,-46.693458195797426,0.0,0.0,8,2,3,5,1,2,2,12500.0
1930,82,Pinheiros,-23.56349922191078,-46.691395347768186,-23.550788263014287,-46.699362591787754,6/10/2018,5,12:00:00,95,Vila Beatriz,-23.550788263014287,-46.699362591787754,12:10:00,600,26,2,4,15,15,0,0,0,147.402175,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,2,1,0,3,3579.58
1931,82,Pinheiros,-23.56110930217498,-46.70022023931712,-23.556274954080088,-46.701343281291926,29/04/2018,6,12:00:00,96,Alto de Pinheiros,-23.556274954080088,-46.701343281291926,12:15:00,900,59,1,4,15,15,0,0,0,97.09975,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.56110930217498,-46.70022023931712,0.0,0.0,1,2,3,2,0,0,1,20000.0
1934,82,Pinheiros,-23.569037279070596,-46.69198549388679,-23.54028579504966,-46.70765070774367,15/06/2018,4,18:00:00,96,Alto de Pinheiros,-23.54028579504966,-46.70765070774367,18:30:00,1800,54,1,4,15,15,0,0,0,92.50985899999999,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.569037279070596,-46.69198549388679,0.0,0.0,1,1,1,2,2,0,1,34578.94
2120,82,Pinheiros,-23.570573920776162,-46.69101572654737,-23.625015491602024,-46.68360887116696,9/10/2018,1,13:30:00,268,Joaquim Nabuco,-23.625015491602024,-46.68360887116696,14:00:00,1800,30,1,4,15,15,0,0,0,190.96889,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.625015491602024,-46.68360887116696,0.0,0.0,8,1,3,1,0,0,3,4689.12
2329,82,Pinheiros,-23.567657749898054,-46.69262417621517,-23.56089069266213,-46.7110908202503,27/06/2018,2,14:00:00,81,Jardim Europa,-23.574693064905787,-46.68839392616994,14:10:00,600,57,1,4,15,15,0,0,0,53.178093000000004,11,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.537994201440526,-46.701695649844076,0.0,0.0,1,1,1,3,4,8,1,29407.35
2901,84,PUC,-23.537829181659664,-46.67362334330564,-23.537829181659664,-46.67362334330564,14/10/2018,6,09:00:00,125,Vila Morro Grande,-23.475604946751808,-46.704183472257036,09:30:00,1800,31,1,4,15,15,0,0,0,73.654436,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.475604946751808,-46.704183472257036,0.0,0.0,7,1,3,2,1,0,1,8046.56
2902,84,PUC,-23.537829181659664,-46.67362334330564,-23.537829181659664,-46.67362334330564,14/10/2018,6,09:00:00,57,Paraíso,-23.572158001535172,-46.645235898628556,09:30:00,1800,30,2,4,15,15,0,0,0,73.654436,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.572158001535172,-46.645235898628556,0.0,0.0,7,1,3,2,1,0,1,8046.56
2983,84,PUC,-23.535081428429102,-46.67386280400413,-23.547278523214302,-46.6732728066288,21/04/2018,5,21:00:00,86,Zequinha de Abreu,-23.547278523214302,-46.6732728066288,21:10:00,600,35,1,4,15,15,0,0,0,25.790737,1,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.547278523214302,-46.6732728066288,0.0,0.0,1,1,3,2,0,0,5,1774.01
